p_val	avg_log2FC	pct.1	pct.2	p_val_adj
HLA-A	6.0138163882234e-76	-0.58577967594734	0.984	0.998	2.20111693625365e-71
JUND	9.78505795244665e-75	0.664580913399341	0.998	0.989	3.581429061175e-70
RPS29	2.09064500844895e-72	-0.683363181388538	0.92	0.997	7.65196979542401e-68
MT-ND4	3.29662889944045e-71	0.922058093236186	0.94	0.974	1.2065991434842e-66
UBC	5.68189709114363e-71	-0.725131821525405	0.908	0.991	2.07963115432948e-66
ZFP36	4.78703519398673e-68	-1.59418647615479	0.308	0.652	1.75210275135108e-63
GZMA	7.24937037866968e-68	-1.01822152051263	0.607	0.871	2.65334205229689e-63
EIF1	2.99948633966669e-66	-0.515137145771578	0.995	0.999	1.0978419951814e-61
HCST	1.41450106945889e-65	-0.861431808302683	0.722	0.921	5.17721536432648e-61
VIM	4.3348672660413e-65	-1.15023828243435	0.922	0.967	1.58660476804378e-60
EFHD2	2.14835949306843e-64	-0.754694915807301	0.761	0.949	7.86321058057978e-60
RPL7	5.33276092991447e-64	0.916111169583227	0.826	0.733	1.951843827958e-59
UBB	8.66433663535254e-64	-0.687100593839008	0.91	0.988	3.17123385190538e-59
IL7R	1.24621219881435e-63	1.48512534952455	0.518	0.172	4.56126126888042e-59
ARL17B	1.38837044351158e-63	-0.875335484112556	0.002	0.26	5.08157466029672e-59
HLA-E	3.56086943382498e-62	-0.647610092291709	0.865	0.976	1.30331382147428e-57
CRTAM	1.46090277424412e-61	-1.32335506434122	0.117	0.455	5.34705024401092e-57
CD7	4.1840903371704e-61	-0.831366538148207	0.726	0.923	1.53141890430774e-56
HOPX	1.61807136212171e-60	-0.976343017384001	0.431	0.771	5.92230299250167e-56
MTRNR2L12	6.39560497191768e-60	-1.15686055133058	0.075	0.383	2.34085537577159e-55
SRGN	7.49930925058398e-60	-0.630495399771871	0.964	0.997	2.74482217880624e-55
IFITM2	8.7447271713698e-59	-0.880846207022629	0.551	0.837	3.20065759199306e-54
CLIC1	1.17905164322017e-58	-0.850173318866218	0.525	0.823	4.31544691935014e-54
GNLY	3.89484505438401e-58	-0.592713542660031	0.988	0.998	1.42555223835509e-53
PPIA	4.19202785846997e-58	-0.736772198814729	0.719	0.924	1.53432411647859e-53
PDE3B	7.53178837552967e-58	1.40583421883403	0.514	0.185	2.75670986332762e-53
RAC2	1.57220771577305e-55	-0.826981492049542	0.441	0.755	5.75443746050094e-51
MTSS1	1.04377848285728e-54	-0.9014196341048	0.414	0.765	3.82033362510594e-50
SRSF2	1.05184611897361e-54	-0.884592861639353	0.549	0.828	3.84986198005532e-50
CCL4	1.81526439362773e-54	-1.49928112616966	0.553	0.833	6.64404920711686e-50
LEF1	5.55047032832728e-54	1.2038984592905	0.319	0.044	2.03152764487107e-49
CCL5	3.13676826276449e-53	-1.08736507763454	0.761	0.847	1.14808855185443e-48
ABHD17A	3.90196563730684e-53	-0.806498831872618	0.459	0.781	1.42815844291068e-48
LDHA	9.18120792974639e-52	-0.830074858008976	0.696	0.888	3.36041391436648e-47
CYBA	6.14627365237125e-51	-0.585366972574587	0.897	0.974	2.2495976195044e-46
HIST2H2AA4	2.16533413015684e-50	-0.766460846411569	0.003	0.214	7.92533944978704e-46
TSHZ2	3.46504267774441e-49	1.41819790877617	0.287	0.035	1.26824027048123e-44
MATK	1.17842433813378e-48	-0.802101298857989	0.312	0.649	4.31315092000346e-44
APOBEC3G	1.27877130088783e-48	-0.695029104774347	0.756	0.927	4.68043083837953e-44
CAMK4	1.53079094039131e-47	1.13625825740503	0.359	0.088	5.60284792092622e-43
EML4	1.58305079831007e-47	0.852663510056709	0.776	0.561	5.79412422689469e-43
RPL34	1.68505355326485e-47	0.536375973931157	0.994	0.998	6.16746451030467e-43
ARF5	5.33175738306959e-47	-0.723541120678901	0.042	0.282	1.9514765197773e-42
MT-ATP6	2.10933443375506e-46	0.611800897425546	0.953	0.998	7.72037496098688e-42
EIF3G	6.57790770484372e-45	-0.815142683714281	0.454	0.727	2.40757999904985e-40
CD74	3.63785877349691e-44	-0.886524712554734	0.448	0.721	1.33149268968761e-39
CRIP1	4.55101356176317e-44	-0.914991760268391	0.884	0.955	1.66571647374094e-39
HLA-F	2.15414304070836e-43	-0.787830597852329	0.227	0.521	7.88437894329666e-39
CTSD	4.2047391675138e-43	-0.781786521512228	0.209	0.508	1.53897658270173e-38
ACTG1	3.19713985279443e-42	-0.75369124146237	0.87	0.956	1.17018515752129e-37
S100A4	6.45370484451019e-42	-0.640719027096475	0.769	0.93	2.36212051013917e-37
RPS20	2.40321574939455e-41	0.881334577489037	0.67	0.514	8.796009964359e-37
NFKBIA	2.78488111790756e-41	-0.660364187970099	0.827	0.951	1.01929433796535e-36
RPL3	9.58212851658274e-41	-0.414598740997058	0.973	1	3.50715485835445e-36
SERF2	3.89172813075324e-40	-0.466904757123405	0.886	0.971	1.42441141313699e-35
FOXP1	1.12358013137107e-39	0.774038152012603	0.807	0.722	4.11241563883127e-35
TNRC6B	3.77302313290345e-39	0.688595569353747	0.826	0.694	1.38096419687399e-34
PLCL1	5.00459378511214e-39	1.04347039958856	0.297	0.066	1.8317313712889e-34
PRF1	1.54039213049618e-38	-0.706011259519668	0.564	0.804	5.63798923682907e-34
MT-ND2	2.71591723256624e-38	0.763066137957071	0.866	0.872	9.94052866291569e-34
RPS9	2.91544329092183e-38	-0.430689649026863	0.945	0.996	1.0670813989103e-33
BCL11B	5.06241701595394e-38	1.00606202826722	0.512	0.255	1.8528952520093e-33
CDC42SE2	6.20007480160379e-38	0.652171667035772	0.891	0.842	2.269289378135e-33
LAIR2	8.82129845382246e-38	0.763447915415611	0.185	0.007	3.22868344708356e-33
H3F3B	9.55309199889284e-38	-0.459800186722698	0.965	0.996	3.49652720251477e-33
GAPDH	2.35515110434135e-37	-0.611030902176399	0.771	0.923	8.62008855699979e-33
USP3	4.46087542146049e-37	0.818862871832901	0.672	0.492	1.63272501300875e-32
MAP2K3	7.4003815263497e-37	-0.700145836822419	0.399	0.673	2.70861364245925e-32
RPL35	9.53607575665063e-37	-0.482883395032826	0.881	0.979	3.4902990876917e-32
CEBPD	2.95325398553833e-36	-0.890149770057267	0.363	0.637	1.08092049124688e-31
CST7	3.98272321240077e-36	-0.552659043682542	0.802	0.937	1.45771652297081e-31
GADD45B	5.52321056328396e-36	-0.727253016482749	0.431	0.691	2.02155029826756e-31
ARHGAP9	7.80098369893633e-36	-0.689473658056968	0.336	0.603	2.85523804364768e-31
PITPNC1	1.34483561913637e-35	0.616432572796266	0.945	0.915	4.92223284960103e-31
AC138123.1	1.68129263752396e-35	-0.499521320396849	0.007	0.166	6.15369918260145e-31
HNRNPA1	2.36036111794983e-35	-0.576497359436395	0.722	0.886	8.63915772780817e-31
NCR3	2.48807137168724e-35	-0.682052878623369	0.147	0.409	9.10659002751246e-31
FCGR3A	8.69706790437281e-35	-0.70451679269935	0.356	0.621	3.18321382367949e-30
LMNA	1.22543653914829e-34	-0.625859889821664	0.803	0.924	4.48522027693665e-30
TMA7	2.8029309114191e-34	-0.548317372453882	0.697	0.875	1.02590074288851e-29
MTRNR2L8	4.31093853362173e-34	-0.634958293185537	0.015	0.177	1.57784661269089e-29
POLR2L	2.81866208247883e-33	-0.610680275935853	0.406	0.661	1.03165850880808e-28
CD99	3.50201009076662e-33	-0.55533132271509	0.678	0.852	1.28177071332149e-28
SERINC5	3.88731633912744e-33	0.864767082683856	0.368	0.135	1.42279665328403e-28
IL32	1.95319590015429e-32	0.742580318951703	0.646	0.37	7.14889231415472e-28
RPS11	2.03085462541809e-32	0.529317003983732	0.876	0.887	7.43313101449276e-28
EPB41	2.40532743902748e-32	0.75412617316914	0.738	0.587	8.8037389595845e-28
CLIC3	3.43805826806379e-32	-0.751582461808527	0.339	0.6	1.25836370669403e-27
SESN3	4.17375489168947e-32	0.839684229537869	0.238	0.046	1.52763602790726e-27
HIST1H4C	4.96549513754434e-32	-0.783662538095527	0.289	0.519	1.8174208752926e-27
DOCK8	6.87273714935296e-32	0.777507041206777	0.733	0.569	2.51549052403468e-27
CXCR4	9.23410974245437e-32	-0.767901325545218	0.671	0.815	3.37977650683572e-27
ASH1L	1.12152901559908e-31	0.695760160569117	0.743	0.58	4.10490834999419e-27
RPS16	1.39631522612132e-31	0.50869149677202	0.945	0.958	5.11065335912664e-27
PACS1	1.87929790032793e-31	0.809013266928353	0.667	0.473	6.87841824499026e-27
LSP1	1.94124071895235e-31	-0.636629605112898	0.532	0.743	7.1051351554375e-27
APMAP	2.44297113248992e-31	-0.663726776028832	0.368	0.605	8.94151864202636e-27
SIK3	3.58327847830501e-31	0.57924214897061	0.901	0.856	1.31151575584442e-26
ANKRD12	6.29716620202494e-31	0.572160339736332	0.831	0.76	2.30482580160315e-26
ICAM3	1.41061683345373e-30	-0.649495383602875	0.29	0.524	5.16299867212398e-26
FLNA	2.37443219780403e-30	-0.591788235877437	0.464	0.705	8.69065928718252e-26
CCR7	5.57781312879026e-30	0.817039271877908	0.421	0.185	2.04153538326852e-25
PRDX5	5.57964716308854e-30	-0.592108940419135	0.302	0.554	2.04220665816204e-25
RPS21	9.31597173918816e-30	-0.367842471436034	0.954	0.993	3.40973881626026e-25
MT-CO2	1.04842086912045e-29	0.370409994506375	0.968	0.999	3.83732522306774e-25
CDC42SE1	1.40371672000237e-29	-0.565611609529848	0.506	0.737	5.13774356688067e-25
BICDL1	4.12717381116088e-29	0.90718149117532	0.459	0.236	1.51058688662299e-24
RPL18	4.29280747026307e-29	0.402198454877938	0.974	0.991	1.57121046219098e-24
CD160	9.76077620233451e-29	-0.561667370175003	0.047	0.222	3.57254169781645e-24
FCER1G	9.96811265794044e-29	-0.519567041260349	0.501	0.737	3.64842891393278e-24
ZC3H12A	1.00678109803376e-28	-0.593643951465736	0.258	0.508	3.68491949691336e-24
SLC16A3	1.13862616102998e-28	-0.708271472961708	0.232	0.462	4.16748561198583e-24
LINC01619	1.46637576055034e-28	0.730280897451715	0.71	0.541	5.36708192119031e-24
IGFBP7	1.96246054938223e-28	-0.603785244570775	0.166	0.394	7.18280185679391e-24
SPTBN1	2.54102107094425e-28	0.708596865794984	0.378	0.155	9.30039122176303e-24
PNP	2.67734172255394e-28	-0.73029610837449	0.253	0.479	9.79933843871967e-24
IRF8	4.06290586616754e-28	-0.631230074025528	0.112	0.316	1.48706417607598e-23
NEAT1	7.05977045834642e-28	0.675160806248603	0.877	0.783	2.58394658545937e-23
FHIT	7.7873799403154e-28	0.728559831521208	0.268	0.075	2.85025893195484e-23
IGF1R	7.92003728182923e-28	0.870656224543631	0.429	0.211	2.89881284552232e-23
CSRNP1	1.08745635264535e-27	-0.604068964893115	0.251	0.483	3.98019899631725e-23
BTG1	1.18370687479528e-27	-0.464677014888205	0.939	0.983	4.3324855324382e-23
RIPOR2	1.22317448610998e-27	0.682907854784565	0.753	0.593	4.47694093661114e-23
RPS3A	2.42129084883663e-27	0.409562842395296	0.994	1	8.86216663582694e-23
ARHGAP15	3.32298200699962e-27	0.672342914714632	0.724	0.594	1.21624464438193e-22
POLR2K	3.47399532997697e-27	-0.586669549824373	0.499	0.731	1.27151703072487e-22
HERC1	4.87561528630851e-27	0.750831757532393	0.656	0.497	1.78452395094178e-22
TMSB10	7.96344565472301e-27	-0.331527864933437	0.986	0.996	2.91470074408517e-22
SH2D1B	1.2498725086261e-26	-0.598348992193996	0.293	0.535	4.57465836882239e-22
BTBD11	1.37366184364911e-26	0.863333764506072	0.445	0.22	5.02773971394012e-22
RASA2	1.37917360912076e-26	0.658881564670634	0.69	0.529	5.04791332674289e-22
CD69	1.52721723467654e-26	-0.584920234671786	0.636	0.817	5.58976780063962e-22
RHOC	2.18867491069122e-26	-0.603302936598716	0.145	0.354	8.01076904062095e-22
KMT2E-AS1	2.24195308669393e-26	-0.484336423820117	0.053	0.222	8.20577249260846e-22
RCAN3	4.24993534201171e-26	0.633974126057838	0.29	0.1	1.55551883452971e-21
CD3G	4.30208142107338e-26	0.604172848584999	0.263	0.081	1.57460482092707e-21
ZEB1	5.05012211301095e-26	0.919922628466046	0.433	0.23	1.84839519458314e-21
TRAT1	5.26805086705667e-26	0.538692920050631	0.216	0.052	1.92815929785141e-21
DBI	6.50904029405058e-26	-0.56321458300502	0.393	0.621	2.38237383802545e-21
VSIR	8.21799513319659e-26	-0.613740579363183	0.126	0.325	3.00786839870128e-21
TNFRSF18	9.21508019872219e-26	-0.632365998412821	0.28	0.514	3.37281150353431e-21
SSBP2	9.89820170022035e-26	0.775929778231699	0.359	0.155	3.62284080429765e-21
CTSC	1.04794249774283e-25	-0.556306426560789	0.282	0.512	3.83557433598853e-21
MT-ATP8	1.42434006742505e-25	-0.56128839793122	0.093	0.274	5.21322708078243e-21
MYL12A	1.52263103627331e-25	-0.530087884673977	0.594	0.791	5.57298185586395e-21
IL2RG	1.88088236085685e-25	-0.568232172586042	0.507	0.705	6.88421752897217e-21
RHOF	3.82273294821754e-25	-0.584102998871286	0.487	0.684	1.3991584863771e-20
UBL5	4.00750875249016e-25	-0.513552000642068	0.462	0.671	1.46678827849892e-20
PSME1	5.41784204576406e-25	-0.529390463666422	0.491	0.698	1.9829843671701e-20
CMSS1	9.24208962587559e-25	1.00744904065066	0.394	0.196	3.38269722396673e-20
BRAF	1.10227653266438e-24	0.618799277516056	0.828	0.725	4.0344423372049e-20
RPS15A	1.32401857057434e-24	0.338486285011605	1	0.998	4.84604037015916e-20
DDX39A	1.82755718690063e-24	-0.568812534399667	0.211	0.421	6.68904205977498e-20
KLRD1	2.83738414784562e-24	-0.421915441778185	0.753	0.9	1.03851097195297e-19
CD3D	3.04056730408976e-24	0.5994686060045	0.371	0.164	1.11287803896989e-19
LAT2	4.30660386609886e-24	-0.547700622015433	0.408	0.625	1.57626008103084e-19
RPS12	5.22644458686006e-24	0.381816644009176	0.998	0.999	1.91293098323665e-19
UQCR11	5.7958231659266e-24	-0.482231656269157	0.438	0.654	2.12132923696079e-19
NELL2	7.89598489396705e-24	0.649721099269037	0.189	0.042	2.89000943104088e-19
TAGAP	9.29794121363044e-24	-0.664392259897438	0.425	0.623	3.40313946360088e-19
LGALS1	1.07967760675816e-23	-0.713191378744978	0.332	0.541	3.95172800849556e-19
ATP5ME	1.26809647070381e-23	-0.534167284730738	0.266	0.481	4.641359892423e-19
ICOS	1.73679261982153e-23	0.542573456285787	0.213	0.055	6.35683466780878e-19
AC016831.5	1.89507130911723e-23	0.73221731585816	0.479	0.278	6.93615049849999e-19
CSGALNACT1	2.51480582355113e-23	0.554404144569823	0.206	0.052	9.20444079477948e-19
ANXA6	4.78035971902257e-23	-0.550153130555757	0.164	0.352	1.74965946075945e-18
ALOX5AP	4.86616259195468e-23	-0.524254420497804	0.212	0.42	1.78106417028133e-18
N4BP3	4.95734057488751e-23	-0.52032497732802	0.192	0.402	1.81443622381458e-18
NDUFA1	6.0166648514566e-23	-0.53700767542059	0.325	0.532	2.20215950228163e-18
ARHGDIB	9.35141166282109e-23	-0.437349527245795	0.787	0.937	3.42271018270915e-18
CSTB	1.10457861809052e-22	-0.547433706700894	0.261	0.462	4.04286820007313e-18
RPS6KA5	1.1147605096934e-22	0.755646177445429	0.484	0.295	4.0801349415288e-18
TRAF1	1.17505337587718e-22	-0.647990692368655	0.443	0.624	4.30081286104807e-18
DHRS7	1.5343588133386e-22	-0.501362246434159	0.265	0.477	5.61590669270061e-18
FASLG	2.95651903714504e-22	-0.539843959527614	0.209	0.416	1.08211553278546e-17
GNG5	3.04797958464982e-22	-0.468600662388382	0.408	0.641	1.11559100777768e-17
MLLT3	3.26488351150319e-22	0.797569265964846	0.365	0.176	1.19498001404528e-17
RPL38	5.13891841093404e-22	-0.413450850880585	0.797	0.944	1.88089552758597e-17
MYL6	5.52067198321928e-22	-0.364980552322265	0.86	0.933	2.02062115257809e-17
TMIGD2	7.44569902355069e-22	-0.470027405931899	0.047	0.187	2.72520029960979e-17
MPP7	8.09889386305925e-22	0.690283420299391	0.507	0.321	2.96427614281832e-17
LEPROTL1	1.2108806397153e-21	0.641763139299245	0.618	0.464	4.43194422942196e-17
BHLHE40	1.36004124897843e-21	-0.543360502843455	0.329	0.545	4.97788697538595e-17
LINC00513	2.13761112344041e-21	0.654043546118787	0.629	0.459	7.82387047290424e-17
COX8A	2.14876568566298e-21	-0.487093713675082	0.346	0.538	7.86469728609507e-17
AC016831.7	2.31529618684264e-21	0.658092869913838	0.724	0.593	8.47421557346276e-17
MRPL10	2.76141195615341e-21	-0.518347496479697	0.142	0.321	1.01070439007171e-16
PTGDS	3.2368807359048e-21	-1.62146990690349	0.173	0.342	1.18473071814852e-16
FKBP2	3.25501210229007e-21	-0.358659558979732	0.015	0.125	1.19136697955919e-16
ADAM8	3.68426303088315e-21	-0.451760794176414	0.16	0.354	1.34847711193354e-16
ARF1	4.72026642310661e-21	-0.481301746592536	0.424	0.617	1.72766471352125e-16
NINJ1	4.73631713552853e-21	-0.548124106262297	0.426	0.624	1.7335394347748e-16
CD63	4.89256328350613e-21	-0.436632494066231	0.388	0.603	1.79072708739608e-16
LRRFIP1	5.74248294022891e-21	0.432664537611054	0.916	0.875	2.10180618095318e-16
P2RY8	6.62175537152025e-21	0.53725720842165	0.85	0.777	2.42362868353013e-16
KIF13A	8.21049001849426e-21	-0.560454413450965	0.299	0.516	3.00512145166908e-16
MCL1	1.06138280241541e-20	-0.444308880046242	0.618	0.778	3.88476719512063e-16
JARID2	1.40390596135176e-20	0.67486256846614	0.651	0.499	5.13843620914359e-16
TUT4	1.6854827760259e-20	0.639451110380784	0.514	0.331	6.16903550853241e-16
OST4	1.75647657873176e-20	-0.442379759209236	0.522	0.708	6.4288799258161e-16
PTGER4	1.83919304236019e-20	-0.534460976310025	0.297	0.496	6.73163045434253e-16
FAAH2	1.89974932261052e-20	0.541811486356627	0.16	0.033	6.95327249568675e-16
PBX4	1.94053402253258e-20	0.632810272937527	0.304	0.129	7.1025485758715e-16
FYB1	1.95164380658578e-20	0.735757948243418	0.543	0.401	7.1432114964846e-16
NEU1	1.95278709015888e-20	-0.778076528876402	0.271	0.462	7.14739602869052e-16
NARF	2.10159604157781e-20	-0.566878599726624	0.234	0.418	7.69205167177893e-16
LTB	2.80781319385756e-20	0.669749277743617	0.407	0.221	1.02768770708381e-15
SAMSN1	2.91792424968892e-20	-0.561553955152463	0.485	0.666	1.06798945462864e-15
SF3B4	2.97759627499003e-20	-0.434005580301233	0.097	0.258	1.0898300126091e-15
PAXX	3.35045754689113e-20	-0.482236582961658	0.319	0.525	1.22630096673762e-15
GSTP1	3.38441439213661e-20	-0.454365656599354	0.465	0.671	1.23872951166592e-15
ARPC3	4.95143278851644e-20	-0.425798428536775	0.56	0.742	1.8122739149249e-15
MED13L	5.38727802104356e-20	0.58906831889911	0.708	0.603	1.97179762848216e-15
CORO1A	5.50375401427267e-20	-0.5005843774963	0.486	0.677	2.01442900676394e-15
TMEM131L	7.55118334602659e-20	0.64595363239812	0.645	0.497	2.76380861647919e-15
USP3-AS1	7.64991596645224e-20	0.515490392663055	0.22	0.072	2.79994574288118e-15
RNF125	7.99459053597919e-20	0.595770061731866	0.62	0.47	2.92610008207374e-15
RPL37	9.09093061732715e-20	-0.302855356603514	0.962	0.994	3.32737151524791e-15
IFNG	1.02888660876687e-19	-0.535383453583602	0.218	0.418	3.76582787674763e-15
MT-ND1	1.09414061427259e-19	0.484275048204283	0.879	0.932	4.0046640622991e-15
CDK17	1.16572850714506e-19	0.579170020764504	0.768	0.671	4.26668290900164e-15
CYTOR	1.4698885683973e-19	-0.597756956769891	0.337	0.53	5.37993914919097e-15
STK4	1.56621086928863e-19	0.460104143515454	0.86	0.822	5.73248840268332e-15
YBX1	1.60613387260416e-19	-0.437996480889622	0.666	0.808	5.87861058711849e-15
PHF20	1.94025713782343e-19	0.576373878762709	0.644	0.508	7.10153515014755e-15
XIST	2.18536982349897e-19	0.593274517820435	0.563	0.391	7.99867209098857e-15
ARID1B	2.38324516283967e-19	0.585247685998034	0.63	0.476	8.72291562050948e-15
FEZ1	3.05399477600198e-19	-0.560412590228951	0.298	0.488	1.11779262796448e-14
SCML1	4.04732204224727e-19	0.426500656123725	0.179	0.046	1.48136034068292e-14
GZMH	4.1682124766425e-19	-0.587180806591878	0.42	0.613	1.52560744857592e-14
RASSF5	4.27866039376316e-19	-0.474193629392965	0.338	0.538	1.56603249072125e-14
PARP8	4.38308696110744e-19	0.564366111684363	0.731	0.622	1.60425365863493e-14
PPP1R2	4.61239686384119e-19	0.641830826234475	0.531	0.367	1.68818337613451e-14
HMGA1	4.66579244679392e-19	-0.531185591647171	0.23	0.415	1.70772669345104e-14
RFX3	4.72856879282584e-19	0.650669142954019	0.588	0.421	1.73070346386219e-14
APOL6	5.11225720412937e-19	-0.471775654425992	0.257	0.447	1.87113725928339e-14
PPP2R5C	5.68972095596388e-19	0.493172576722305	0.824	0.762	2.08249476709234e-14
RBM38	5.81074913666086e-19	-0.438164742064378	0.309	0.501	2.12679229150924e-14
RPS8	6.65288699468307e-19	0.403115412656663	0.968	0.99	2.43502316892395e-14
TXNIP	6.70465007732517e-19	0.609060941250063	0.375	0.191	2.45396897480178e-14
SQSTM1	7.29264341721615e-19	-0.465311372225779	0.703	0.837	2.66918041713528e-14
NR3C1	7.35210183517439e-19	0.623452462248922	0.77	0.688	2.69094279269218e-14
COX6A1	7.91044139784784e-19	-0.459377927655954	0.441	0.625	2.89530065602629e-14
OTULIN	8.54844293901138e-19	-0.452004289912222	0.519	0.704	3.12881560010755e-14
SSH2	8.58393534879237e-19	0.483799603642958	0.866	0.806	3.1418061770115e-14
ELOB	9.70113669419321e-19	-0.417604452773066	0.469	0.662	3.55071304144166e-14
MYL12B	1.42954471716414e-18	-0.401321177740071	0.644	0.806	5.23227661929248e-14
ENO1	1.5735952216063e-18	-0.504982718866232	0.379	0.558	5.75951587060122e-14
LAPTM5	1.63855162406433e-18	-0.47710437525493	0.508	0.687	5.99726279923784e-14
CD8A	2.00431119586923e-18	-0.642272533917668	0.154	0.315	7.33597940800096e-14
GATAD2B	2.61077289588271e-18	0.646906717229419	0.554	0.395	9.55568987622031e-14
SYTL1	2.81769266205242e-18	-0.489648702418769	0.125	0.284	1.03130369123781e-13
ATP5MF	2.94320503035383e-18	-0.413010084136309	0.29	0.48	1.07724247315981e-13
GRAMD1B	2.98915035521275e-18	0.713932704753494	0.213	0.073	1.09405892151142e-13
MAGOH	4.11021624735152e-18	-0.464163016510554	0.33	0.517	1.50438024869313e-13
MT-ND4L	4.20103965679164e-18	-0.521263613641593	0.237	0.411	1.53762252478231e-13
TLN1	5.00033102006663e-18	-0.430044906985897	0.2	0.379	1.83017115665459e-13
PET100	5.68834884319203e-18	-0.458913354447613	0.218	0.397	2.08199256009671e-13
DRAXIN	5.71438184059965e-18	-0.32322257158629	0.014	0.109	2.09152089747788e-13
HSP90AA1	5.71709585554864e-18	0.48942219772899	0.928	0.921	2.09251425408936e-13
ARL6IP5	5.91328974074164e-18	-0.518917825948856	0.49	0.672	2.16432317800885e-13
LDLRAD4	5.94208934074826e-18	0.812704741906381	0.406	0.238	2.17486411960727e-13
MAP1LC3B	6.01657375163981e-18	-0.442825609621791	0.45	0.631	2.20212615883769e-13
PRORP	6.4453988165592e-18	0.594198878813435	0.287	0.131	2.35908042084883e-13
BLOC1S1	6.66567163232992e-18	-0.456467240640403	0.188	0.36	2.43970247414908e-13
SNHG31	8.87666975382786e-18	0.416932708218418	0.155	0.037	3.24894989659853e-13
SMCHD1	9.22340387154929e-18	0.562119860962934	0.646	0.523	3.37585805102576e-13
MXI1	1.00644498444021e-17	0.501041294801762	0.222	0.08	3.68368928754961e-13
GRAP2	1.394414479495e-17	0.644106357917161	0.356	0.192	5.10369643639966e-13
RETREG1	1.48008274323187e-17	0.361691652451087	0.133	0.026	5.41725084850298e-13
CCL3	1.5302559022452e-17	-0.611785220888835	0.11	0.268	5.60088962780764e-13
AC092821.3	1.84408957513819e-17	-0.412476693323674	0.418	0.613	6.74955225396328e-13
PAN3	1.86220991921209e-17	0.562290183362097	0.649	0.511	6.81587452530816e-13
SFT2D1	2.04491611556963e-17	-0.398881837315769	0.249	0.442	7.48459747459639e-13
FOXO1	2.13716476155e-17	0.623124300432938	0.55	0.382	7.82223674374914e-13
RRP7A	2.14378205645512e-17	-0.425726878537186	0.1	0.242	7.84645670483138e-13
EIF3E	2.14446921800397e-17	0.643932981619567	0.569	0.446	7.84897178481632e-13
SRP14	2.14620612444105e-17	-0.33355896116138	0.726	0.862	7.85532903606668e-13
SH2D2A	2.23216168887592e-17	-0.417271541094731	0.401	0.591	8.16993499745474e-13
ANK3	2.44660042971021e-17	0.508790153044828	0.193	0.063	8.95480223278235e-13
DOK2	2.65748019470089e-17	-0.513479537132311	0.28	0.452	9.72664326062472e-13
PIM3	3.01455508980336e-17	-0.452397198336178	0.26	0.441	1.10335730841893e-12
PLAAT4	3.07101849491029e-17	-0.384617406739466	0.517	0.692	1.12402347932212e-12
TGFB1	3.82057979549487e-17	-0.26888812352554	0.925	0.974	1.39837041094908e-12
IER5	3.87880895212788e-17	-0.457520496732844	0.333	0.516	1.41968286456832e-12
ZBTB20	4.03513413894848e-17	0.574605357019952	0.644	0.507	1.47689944619653e-12
ITK	4.36366904244737e-17	0.598636530579935	0.484	0.323	1.59714650622616e-12
PIP4K2A	4.44630429928616e-17	0.50853859382094	0.771	0.681	1.62739183658173e-12
AKT3	4.63342081317848e-17	0.540558070415635	0.773	0.685	1.69587835183145e-12
SAT1	4.70632347389075e-17	-0.475466337059576	0.527	0.694	1.72256145467875e-12
SEPTIN6	4.94206652635036e-17	0.651858934107029	0.529	0.398	1.8088457693095e-12
